OBJECTID,PZIPCODEID,ZIP,ZIPCODE,Shape__Area,Shape__Length,GlobalID
1,33035,33035,33035,291742760.5,85419.89294,ff9a785d-0f71-4541-9951-9c8d439b42c6
2,33010,33010,33010,13170509.94,19851.54006,ff56a32a-b713-4acf-ba60-e7a24daadadc
3,33154,33154,33154,10036691.51,15339.77069,e0eb98ac-facd-48b0-8a7e-7e4dfd1afbf0
4,33037,33037,33037,547077.8262,3500.649627,7a7e3954-a67a-4dac-940f-89d62d9aa090
5,33116,33116,33116,30251.13281,802.5318711,8947a873-8ae0-4d30-98a1-e36163e1673c
6,33197,33197,33197,22150.21094,651.3391778,e0fb9ac1-9c6e-4db5-a7c6-0b1ee28b19bd
7,33153,33153,33153,487.1425781,110.4048456,c6adbbd2-6fb5-4956-8029-b865fec21237
8,33283,33283,33283,315.6660156,97.20094465,b5e4ef17-e10b-4add-8ca1-da950b877d3e
9,33140,33140,33140,29687395.38,23553.91466,b97ac48f-7a2a-42a3-b2f1-bcc449ad55c0
10,33101,33101,33101,21930.09375,607.5431478,92b69691-b2e8-4983-adbe-6f386d794ae3
11,33109,33109,33109,2395340.465,7248.690453,e2c4f55d-ba57-46b7-9900-362089974494
12,33147,33147,33147,23572864.11,21148.28537,92f09d28-8337-4a8c-a0c2-8df25d107a81
13,33192,33192,33192,31091158.6,23590.97414,a68fb423-235c-46f4-a214-9959c000bb46
14,33018,33018,33018,71384024.69,38504.87667,3645ed40-7316-49f6-81d5-2e174b3d93d8
15,33034,33034,33034,369211271.9,82028.97095,576ce373-cf29-4a9d-9ad6-50f520e8c0da
16,33015,33015,33015,20874771.66,19459.78526,122f9fef-95e5-416a-889d-fc7620955950
17,33016,33016,33016,15034500.96,20898.47465,9999a8ca-dfeb-4c63-aed6-bf11cad1a950
18,33155,33155,33155,25859743.67,26388.78165,ce78cf1a-70e2-4793-9739-a605d14d173e
19,33146,33146,33146,10434205.06,17398.97289,c5719d51-f085-4741-9c07-82507c6bdf16
20,33181,33181,33181,15413268.75,17540.56717,501be54e-8807-4e83-ab43-6878a87b129f
21,33039,33039,33039,9367731.055,18387.11145,40a4d6b3-4cc3-4e98-a223-7a259ce38644
22,33178,33178,33178,198785703.3,62870.32403,b271a7eb-efef-4141-a476-5064458798e0
23,33151,33151,33151,862.7929688,142.4680429,0f690c76-f539-4389-aeee-f7b42e064463
24,33190,33190,33190,10716147.66,17342.89961,85b742ba-c9fe-49c4-80a7-1f0dd4200e7b
25,33169,33169,33169,23102212.93,25767.47669,3d8d15fb-fbd1-4c73-94c8-e7139d5f0a77
26,33152,33152,33152,191824.5273,2168.446433,0f17d53a-22c1-4d3e-b278-9a2959790141
27,33193,33193,33193,36547253.88,33881.74099,a9a87064-a554-41a1-8baf-a872912c16a5
28,33128,33128,33128,1436517.555,8273.915019,3423a038-26ab-4711-a828-7fe471321cd6
29,33131,33131,33131,6912003.176,13899.93361,21b6a054-7991-4009-a6b7-1f46c5b4906f
30,33122,33122,33122,17860316.26,23585.11814,82950cef-136c-48f7-80df-52c32f42f0ab
31,33143,33143,33143,26552837.53,31521.14586,9d41f76d-8cff-45d1-ad9e-8a2cf61bc60e
32,33132,33132,33132,9655488.311,18185.17349,e13a1e5b-a62a-4a61-ac9e-43ed5313cb04
33,33166,33166,33166,31122894.18,29068.22792,2624eefc-1fa1-44e2-8b7a-132d823f7b6b
34,33135,33135,33135,7028244.088,16582.55549,4954ff9a-e99a-432c-a748-b6af2f9a838d
35,33165,33165,33165,25692211.43,22917.71064,323976fe-9178-4c4e-902a-3d69b700167c
36,33031,33031,33031,95145370.47,62856.70128,6dc70b7b-d8b5-48c1-bae3-8f5afa0660e3
37,33161,33161,33161,17674384.72,21961.36543,2254bbfb-ed47-49e6-9963-d5a3e14f5ca1
38,33162,33162,33162,17445990.16,20592.29972,bbea4c0d-9cc1-45d3-8143-d99c7acbc356
39,33179,33179,33179,18394059.24,19688.77789,1ba24c9a-dca3-43fa-9adb-45456cd95723
40,33167,33167,33167,14429898.92,21613.26811,8fa03f9f-d010-4142-91be-aa5e6d21f040
41,33176,33176,33176,39631726.27,34573.93756,705097c3-78a7-4889-870e-b8761318f2ca
42,33160,33160,33160,18068848.59,23359.0816,f8f00be5-4b26-4419-94c7-e06d8c5eb0dc
